Length Units,centimeter
Node,X(cm),Y(cm),Z(cm),VX(cm/s),VY(cm/s),VZ(cm/s),(1) 속도 크기 - cm/s
1,-2.6209146e+04,-7.1696563e+04,1.0300000e+04,2.7401897e+01,9.1781860e+02,4.2206863e+01,9.1919708e+02
2,-2.3182842e+04,-7.1696563e+04,1.0300000e+04,2.5664913e+01,9.5769208e+02,4.7962856e+01,9.5923578e+02
3,-2.0156539e+04,-7.1696563e+04,1.0300000e+04,1.4345892e+01,9.7407666e+02,3.8057091e+01,9.7492535e+02
4,-1.7130234e+04,-7.1696563e+04,1.0300000e+04,4.8015690e+00,9.6885944e+02,4.4409168e+01,9.6988861e+02
5,-1.4103930e+04,-7.1696563e+04,1.0300000e+04,-1.7259250e+00,9.7638800e+02,4.3050400e+01,9.7733813e+02
6,-1.1077625e+04,-7.1696563e+04,1.0300000e+04,-5.3369942e+00,9.7886346e+02,3.6002754e+01,9.7953986e+02
7,-8.0513203e+03,-7.1696563e+04,1.0300000e+04,-9.8697548e+00,9.7549298e+02,4.6559868e+01,9.7665338e+02
8,-5.0250176e+03,-7.1696563e+04,1.0300000e+04,-1.4713474e+01,9.7291797e+02,5.6310944e+01,9.7465729e+02
9,-1.9987129e+03,-7.1696563e+04,1.0300000e+04,-1.9665512e+01,9.6881689e+02,5.1398563e+01,9.7037866e+02
10,1.0275918e+03,-7.1696563e+04,1.0300000e+04,-2.3654362e+01,9.7475592e+02,5.9249535e+01,9.7684143e+02
11,4.0538965e+03,-7.1696563e+04,1.0300000e+04,-3.1791264e+01,9.7900488e+02,5.3689644e+01,9.8099121e+02
12,7.0802012e+03,-7.1696563e+04,1.0300000e+04,-3.8583900e+01,9.8396301e+02,5.4842812e+01,9.8624524e+02
13,1.0106506e+04,-7.1696563e+04,1.0300000e+04,-4.3211327e+01,9.8540588e+02,5.0260246e+01,9.8763257e+02
14,1.3132807e+04,-7.1696563e+04,1.0300000e+04,-4.4294052e+01,9.8340082e+02,4.8486069e+01,9.8559119e+02
15,1.6159111e+04,-7.1696563e+04,1.0300000e+04,-5.9417023e+01,9.8122913e+02,5.0347931e+01,9.8431494e+02
16,1.9185416e+04,-7.1696563e+04,1.0300000e+04,-6.7906013e+01,9.7442731e+02,6.3018787e+01,9.7882135e+02
17,2.2211721e+04,-7.1696563e+04,1.0300000e+04,-7.2090179e+01,9.6127515e+02,6.7561935e+01,9.6633923e+02
18,2.5238025e+04,-7.1696563e+04,1.0300000e+04,-5.9269508e+01,9.5075403e+02,6.8552879e+01,9.5506317e+02
19,2.8264330e+04,-7.1696563e+04,1.0300000e+04,-4.4932899e+01,9.5264087e+02,6.3109753e+01,9.5578577e+02
20,3.1290635e+04,-7.1696563e+04,1.0300000e+04,-2.9573578e+01,9.6116449e+02,6.0374352e+01,9.6351276e+02
21,3.4316938e+04,-7.1696563e+04,1.0300000e+04,-1.6030182e+01,9.6222229e+02,4.9607143e+01,9.6363354e+02
22,3.7343242e+04,-7.1696563e+04,1.0300000e+04,-5.8846817e+00,9.7104980e+02,3.7080193e+01,9.7177533e+02
23,4.0369547e+04,-7.1696563e+04,1.0300000e+04,-3.7109323e+00,9.7037476e+02,5.5348808e+01,9.7195905e+02
24,4.3395852e+04,-7.1696563e+04,1.0300000e+04,-5.6224561e+00,9.6889178e+02,7.2275879e+01,9.7160010e+02
25,4.6422156e+04,-7.1696563e+04,1.0300000e+04,-5.2692642e+00,9.7986475e+02,4.9074600e+01,9.8110706e+02
26,4.9448461e+04,-7.1696563e+04,1.0300000e+04,-5.7540154e+00,9.7307129e+02,5.9022182e+01,9.7487665e+02
27,5.2474766e+04,-7.1696563e+04,1.0300000e+04,-2.4553924e+00,9.7270068e+02,4.8132683e+01,9.7389392e+02
28,5.5501070e+04,-7.1696563e+04,1.0300000e+04,1.9470897e+00,9.8026434e+02,4.1088867e+01,9.8112708e+02
29,5.8527375e+04,-7.1696563e+04,1.0300000e+04,6.2401462e+00,9.7981616e+02,4.2511826e+01,9.8075781e+02
30,6.1553680e+04,-7.1696563e+04,1.0300000e+04,9.3417988e+00,9.7665894e+02,6.1335251e+01,9.7862756e+02
31,6.4579984e+04,-7.1696563e+04,1.0300000e+04,6.2724681e+00,9.8269354e+02,5.2138485e+01,9.8409576e+02
32,6.7606289e+04,-7.1696563e+04,1.0300000e+04,3.4394813e+00,9.8519342e+02,5.1433483e+01,9.8654108e+02
33,7.0632594e+04,-7.1696563e+04,1.0300000e+04,3.0325413e+00,9.7710931e+02,5.5380547e+01,9.7868219e+02
34,7.3658898e+04,-7.1696563e+04,1.0300000e+04,1.2239267e+00,9.7666266e+02,5.1421986e+01,9.7801617e+02
35,7.6685203e+04,-7.1696563e+04,1.0300000e+04,-8.4192175e-01,9.7289941e+02,5.6027023e+01,9.7451166e+02
36,7.9711500e+04,-7.1696563e+04,1.0300000e+04,-2.6265745e+00,9.8018219e+02,4.3269424e+01,9.8114026e+02
37,8.2737805e+04,-7.1696563e+04,1.0300000e+04,-4.0598483e+00,9.8427539e+02,5.0377831e+01,9.8557214e+02
38,8.5764109e+04,-7.1696563e+04,1.0300000e+04,-1.4409225e+00,9.8095270e+02,4.9922653e+01,9.8222327e+02
39,8.8790414e+04,-7.1696563e+04,1.0300000e+04,1.4233221e+00,9.7860077e+02,4.0851746e+01,9.7945410e+02
40,9.1816719e+04,-7.1696563e+04,1.0300000e+04,3.8162031e+00,9.7978821e+02,4.6235149e+01,9.8088593e+02
41,9.4843023e+04,-7.1696563e+04,1.0300000e+04,5.5043006e+00,9.7300598e+02,6.2239838e+01,9.7501013e+02
42,9.7869328e+04,-7.1696563e+04,1.0300000e+04,2.7881398e+00,9.7490228e+02,5.4196030e+01,9.7641150e+02
43,1.0089563e+05,-7.1696563e+04,1.0300000e+04,7.3458749e-01,9.7895081e+02,4.4034081e+01,9.7994092e+02
44,1.0392194e+05,-7.1696563e+04,1.0300000e+04,-4.8219757e+00,9.8264178e+02,4.3123985e+01,9.8359943e+02
45,1.0694823e+05,-7.1696563e+04,1.0300000e+04,-1.2083443e+01,9.7266321e+02,3.5357414e+01,9.7338062e+02
46,1.0997455e+05,-7.1696563e+04,1.0300000e+04,-2.5256207e+01,9.4866064e+02,4.5252373e+01,9.5007507e+02
47,1.1300084e+05,-7.1696563e+04,1.0300000e+04,-2.6986628e+01,8.9642139e+02,4.3502357e+01,8.9788196e+02
48,-2.6209146e+04,-6.8679695e+04,1.0300000e+04,4.0413193e+01,7.6378033e+02,7.0327980e+01,7.6807526e+02
49,-2.3182842e+04,-6.8679695e+04,1.0300000e+04,4.5414726e+01,8.7155090e+02,7.9993805e+01,8.7639172e+02
50,-2.0156539e+04,-6.8679695e+04,1.0300000e+04,2.7026562e+01,9.1000037e+02,7.0830223e+01,9.1315283e+02
