Length Units,centimeter
Node,X(cm),Y(cm),Z(cm),VX(cm/s),VY(cm/s),VZ(cm/s),(1) 속도 크기 - cm/s
1,-2.6209146e+04,-7.1696563e+04,1.7300000e+04,2.1694946e+01,9.0868787e+02,-1.3339523e+01,9.0904468e+02
2,-2.3182842e+04,-7.1696563e+04,1.7300000e+04,2.1599186e+01,9.0871906e+02,-1.5251554e+01,9.0910364e+02
3,-2.0156539e+04,-7.1696563e+04,1.7300000e+04,1.3253789e+01,9.3591895e+02,-1.5369761e+01,9.3613898e+02
4,-1.7130234e+04,-7.1696563e+04,1.7300000e+04,3.9218612e+00,9.3900507e+02,-1.5529303e+01,9.3914166e+02
5,-1.4103930e+04,-7.1696563e+04,1.7300000e+04,-1.3866675e+00,9.3710406e+02,-1.4694494e+01,9.3722028e+02
6,-1.1077625e+04,-7.1696563e+04,1.7300000e+04,-5.0281525e+00,9.3375354e+02,-1.1961119e+01,9.3384369e+02
7,-8.0513203e+03,-7.1696563e+04,1.7300000e+04,-9.3859653e+00,9.1989539e+02,-1.8175539e+01,9.2012280e+02
8,-5.0250176e+03,-7.1696563e+04,1.7300000e+04,-1.1641962e+01,9.1934070e+02,-1.4070057e+01,9.1952203e+02
9,-1.9987129e+03,-7.1696563e+04,1.7300000e+04,-1.4945719e+01,9.2427405e+02,-1.5351437e+01,9.2452234e+02
10,1.0275918e+03,-7.1696563e+04,1.7300000e+04,-1.7448769e+01,9.3358331e+02,-1.5110766e+01,9.3386859e+02
11,4.0538965e+03,-7.1696563e+04,1.7300000e+04,-2.0888500e+01,9.3619165e+02,-1.0495773e+01,9.3648346e+02
12,7.0802012e+03,-7.1696563e+04,1.7300000e+04,-2.5158396e+01,9.5238123e+02,-6.1427960e+00,9.5273328e+02
13,1.0106506e+04,-7.1696563e+04,1.7300000e+04,-2.8007357e+01,9.5861749e+02,-7.0409760e+00,9.5905237e+02
14,1.3132807e+04,-7.1696563e+04,1.7300000e+04,-3.6612614e+01,9.5210107e+02,-6.1171207e+00,9.5282440e+02
15,1.6159111e+04,-7.1696563e+04,1.7300000e+04,-4.8914684e+01,9.4080823e+02,-8.9420338e+00,9.4212140e+02
