Length Units,centimeter
Node,X(cm),Y(cm),Z(cm),VX(cm/s),VY(cm/s),VZ(cm/s),(1) 속도 크기 - cm/s
1,-2.6209146e+04,-7.1696563e+04,1.2600000e+04,2.4686413e+01,9.1037714e+02,1.8284138e+01,9.1089532e+02
2,-2.3182842e+04,-7.1696563e+04,1.2600000e+04,2.8531460e+01,9.4645245e+02,2.1908976e+01,9.4713586e+02
3,-2.0156539e+04,-7.1696563e+04,1.2600000e+04,1.6550459e+01,9.6130994e+02,1.9807621e+01,9.6165643e+02
4,-1.7130234e+04,-7.1696563e+04,1.2600000e+04,6.0345173e+00,9.6562445e+02,2.0064098e+01,9.6585175e+02
5,-1.4103930e+04,-7.1696563e+04,1.2600000e+04,-1.9399749e+00,9.7368481e+02,1.6449333e+01,9.7382568e+02
6,-1.1077625e+04,-7.1696563e+04,1.2600000e+04,-5.3394179e+00,9.7501764e+02,1.2988729e+01,9.7511871e+02
7,-8.0513203e+03,-7.1696563e+04,1.2600000e+04,-9.9340029e+00,9.7559631e+02,1.7956900e+01,9.7581213e+02
8,-5.0250176e+03,-7.1696563e+04,1.2600000e+04,-1.3718193e+01,9.7713770e+02,1.7031752e+01,9.7738239e+02
9,-1.9987129e+03,-7.1696563e+04,1.2600000e+04,-1.8901110e+01,9.6806836e+02,1.6213804e+01,9.6838861e+02
10,1.0275918e+03,-7.1696563e+04,1.2600000e+04,-2.2323017e+01,9.7681824e+02,1.9572037e+01,9.7726929e+02
11,4.0538965e+03,-7.1696563e+04,1.2600000e+04,-2.9257957e+01,9.8201514e+02,1.7493477e+01,9.8260663e+02
12,7.0802012e+03,-7.1696563e+04,1.2600000e+04,-3.8254433e+01,9.8337323e+02,2.5448929e+01,9.8444598e+02
13,1.0106506e+04,-7.1696563e+04,1.2600000e+04,-4.2712830e+01,9.8370892e+02,2.4193142e+01,9.8493298e+02
14,1.3132807e+04,-7.1696563e+04,1.2600000e+04,-5.5455688e+01,9.8143726e+02,2.3577068e+01,9.8328546e+02
15,1.6159111e+04,-7.1696563e+04,1.2600000e+04,-6.1324974e+01,9.7816077e+02,2.5368587e+01,9.8040948e+02
16,1.9185416e+04,-7.1696563e+04,1.2600000e+04,-7.0429070e+01,9.7004919e+02,3.3333107e+01,9.7317358e+02
17,2.2211721e+04,-7.1696563e+04,1.2600000e+04,-8.0861961e+01,9.6105670e+02,4.5593861e+01,9.6552966e+02
18,2.5238025e+04,-7.1696563e+04,1.2600000e+04,-6.7731613e+01,9.5952393e+02,4.8482910e+01,9.6313257e+02
19,2.8264330e+04,-7.1696563e+04,1.2600000e+04,-3.7966064e+01,9.6935034e+02,3.2991615e+01,9.7065436e+02
20,3.1290635e+04,-7.1696563e+04,1.2600000e+04,-3.1117373e+01,9.6939435e+02,3.5532600e+01,9.7054431e+02
21,3.4316938e+04,-7.1696563e+04,1.2600000e+04,-1.7604977e+01,9.6528687e+02,3.3026180e+01,9.6601215e+02
22,3.7343242e+04,-7.1696563e+04,1.2600000e+04,-1.0483453e+01,9.6536823e+02,2.7835184e+01,9.6582635e+02
23,4.0369547e+04,-7.1696563e+04,1.2600000e+04,-5.2061949e+00,9.6916669e+02,2.8009659e+01,9.6958533e+02
24,4.3395852e+04,-7.1696563e+04,1.2600000e+04,-5.3837800e+00,9.7194385e+02,3.0239212e+01,9.7242902e+02
25,4.6422156e+04,-7.1696563e+04,1.2600000e+04,-7.4001741e+00,9.6801514e+02,2.4147331e+01,9.6834454e+02
26,4.9448461e+04,-7.1696563e+04,1.2600000e+04,-6.8297873e+00,9.6299127e+02,2.7446575e+01,9.6340649e+02
27,5.2474766e+04,-7.1696563e+04,1.2600000e+04,-2.9315958e+00,9.6609412e+02,2.8092997e+01,9.6650690e+02
28,5.5501070e+04,-7.1696563e+04,1.2600000e+04,3.0297532e+00,9.6766309e+02,2.7072357e+01,9.6804651e+02
29,5.8527375e+04,-7.1696563e+04,1.2600000e+04,6.4641995e+00,9.7165424e+02,2.9865782e+01,9.7213458e+02
30,6.1553680e+04,-7.1696563e+04,1.2600000e+04,8.5087051e+00,9.7394360e+02,2.9416370e+01,9.7442487e+02
31,6.4579984e+04,-7.1696563e+04,1.2600000e+04,5.4877467e+00,9.7238232e+02,2.3417877e+01,9.7267975e+02
32,6.7606289e+04,-7.1696563e+04,1.2600000e+04,2.5447304e+00,9.7655151e+02,2.1624025e+01,9.7679425e+02
33,7.0632594e+04,-7.1696563e+04,1.2600000e+04,1.8346963e+00,9.7320306e+02,1.9338388e+01,9.7339691e+02
34,7.3658898e+04,-7.1696563e+04,1.2600000e+04,7.8474218e-01,9.7726917e+02,1.7090595e+01,9.7741888e+02
35,7.6685203e+04,-7.1696563e+04,1.2600000e+04,-8.8260227e-01,9.7718555e+02,1.6121088e+01,9.7731885e+02
36,7.9711500e+04,-7.1696563e+04,1.2600000e+04,-1.9657527e+00,9.7957654e+02,1.8229334e+01,9.7974811e+02
37,8.2737805e+04,-7.1696563e+04,1.2600000e+04,-2.3696785e+00,9.7884229e+02,2.1469128e+01,9.7908057e+02
38,8.5764109e+04,-7.1696563e+04,1.2600000e+04,-4.9712786e-01,9.7121637e+02,1.8477465e+01,9.7139227e+02
39,8.8790414e+04,-7.1696563e+04,1.2600000e+04,1.9722025e+00,9.7263062e+02,2.0430838e+01,9.7284717e+02
40,9.1816719e+04,-7.1696563e+04,1.2600000e+04,3.7087126e+00,9.7644208e+02,1.8339964e+01,9.7662134e+02
41,9.4843023e+04,-7.1696563e+04,1.2600000e+04,3.8983471e+00,9.8056433e+02,2.0584736e+01,9.8078815e+02
42,9.7869328e+04,-7.1696563e+04,1.2600000e+04,2.3974195e+00,9.8189209e+02,1.9336361e+01,9.8208539e+02
43,1.0089563e+05,-7.1696563e+04,1.2600000e+04,6.0895920e-01,9.8015643e+02,1.7109188e+01,9.8030597e+02
44,1.0392194e+05,-7.1696563e+04,1.2600000e+04,-4.1665969e+00,9.8079376e+02,2.1479380e+01,9.8103778e+02
45,1.0694823e+05,-7.1696563e+04,1.2600000e+04,-1.5834988e+01,9.6620001e+02,2.1894623e+01,9.6657776e+02
