Length Units,centimeter
Node,X(cm),Y(cm),Z(cm),VX(cm/s),VY(cm/s),VZ(cm/s),(1) 속도 크기 - cm/s
1,-2.6209146e+04,-7.1696563e+04,2.0700000e+03,-1.6062092e+01,8.9990405e+02,1.4776100e+02,9.1209570e+02
2,-2.3182842e+04,-7.1696563e+04,2.0700000e+03,-4.9401543e+01,8.2104407e+02,2.0224303e+02,8.4702783e+02
3,-2.0156539e+04,-7.1696563e+04,2.0700000e+03,-1.4440903e+01,7.8967804e+02,2.6209619e+02,8.3216248e+02
4,-1.7130234e+04,-7.1696563e+04,2.0700000e+03,-4.7743587e+00,8.7905627e+02,2.7170688e+02,9.2010181e+02
5,-1.4103930e+04,-7.1696563e+04,2.0700000e+03,-7.8395786e+00,9.0804669e+02,2.6453967e+02,9.4582849e+02
6,-1.1077625e+04,-7.1696563e+04,2.0700000e+03,-1.3861922e+01,9.0016632e+02,2.5690671e+02,9.3621179e+02
7,-8.0513203e+03,-7.1696563e+04,2.0700000e+03,-1.0056349e+01,9.0699561e+02,2.8899625e+02,9.5197736e+02
8,-5.0250176e+03,-7.1696563e+04,2.0700000e+03,-1.2730175e+01,9.1202124e+02,2.9701343e+02,9.5925067e+02
9,-1.9987129e+03,-7.1696563e+04,2.0700000e+03,-2.0237507e+01,9.0644110e+02,3.2087350e+02,9.6177173e+02
10,1.0275918e+03,-7.1696563e+04,2.0700000e+03,-2.0877464e+01,9.0588446e+02,3.4519116e+02,9.6964911e+02
11,4.0538965e+03,-7.1696563e+04,2.0700000e+03,-2.4574045e+01,9.1826514e+02,3.4278448e+02,9.8046722e+02
12,7.0802012e+03,-7.1696563e+04,2.0700000e+03,-2.9528675e+01,8.8950378e+02,3.4082397e+02,9.5302148e+02
13,1.0106506e+04,-7.1696563e+04,2.0700000e+03,-3.2574333e+01,8.5068793e+02,3.4399835e+02,9.1818616e+02
14,1.3132807e+04,-7.1696563e+04,2.0700000e+03,-3.9058727e+01,8.5774005e+02,3.8828220e+02,9.4234106e+02
15,1.6159111e+04,-7.1696563e+04,2.0700000e+03,-3.1041594e+01,8.4225586e+02,3.6016125e+02,9.1655585e+02
16,1.9185416e+04,-7.1696563e+04,2.0700000e+03,-4.6463177e+01,8.3105060e+02,3.6226483e+02,9.0776636e+02
17,2.2211721e+04,-7.1696563e+04,2.0700000e+03,-4.1080048e+01,8.2940051e+02,3.8533624e+02,9.1546533e+02
18,2.5238025e+04,-7.1696563e+04,2.0700000e+03,-3.5103600e+01,8.2864978e+02,3.4141193e+02,8.9691406e+02
19,2.8264330e+04,-7.1696563e+04,2.0700000e+03,-3.4969803e+01,8.2625281e+02,3.3055502e+02,8.9060834e+02
20,3.1290635e+04,-7.1696563e+04,2.0700000e+03,-1.2011467e+01,8.6969519e+02,2.7660956e+02,9.1270306e+02
21,3.4316938e+04,-7.1696563e+04,2.0700000e+03,-1.0302367e+01,9.0040295e+02,2.9361008e+02,9.4712115e+02
22,3.7343242e+04,-7.1696563e+04,2.0700000e+03,-7.2259874e+00,9.1842957e+02,3.0639386e+02,9.6821600e+02
23,4.0369547e+04,-7.1696563e+04,2.0700000e+03,-1.1803194e+01,8.8866461e+02,3.1860745e+02,9.4412646e+02
24,4.3395852e+04,-7.1696563e+04,2.0700000e+03,-7.4080992e-01,8.7036981e+02,2.8505005e+02,9.1585901e+02
25,4.6422156e+04,-7.1696563e+04,2.0700000e+03,8.7786236e+00,9.0572131e+02,3.4154242e+02,9.6801831e+02
26,4.9448461e+04,-7.1696563e+04,2.0700000e+03,-6.5082774e+00,9.0113409e+02,3.1041431e+02,9.5312225e+02
27,5.2474766e+04,-7.1696563e+04,2.0700000e+03,-1.7475897e-01,8.5292896e+02,3.1578079e+02,9.0950830e+02
28,5.5501070e+04,-7.1696563e+04,2.0700000e+03,1.7684095e+00,8.9141034e+02,2.9817044e+02,9.3995807e+02
29,5.8527375e+04,-7.1696563e+04,2.0700000e+03,6.6284008e+00,9.0471332e+02,3.2149048e+02,9.6015948e+02
30,6.1553680e+04,-7.1696563e+04,2.0700000e+03,6.9323997e+00,8.7250946e+02,3.4396432e+02,9.3788715e+02
31,6.4579984e+04,-7.1696563e+04,2.0700000e+03,1.1130571e+01,9.0112439e+02,3.2489386e+02,9.5796924e+02
32,6.7606289e+04,-7.1696563e+04,2.0700000e+03,6.1361661e+00,9.1213531e+02,3.0321371e+02,9.6123199e+02
33,7.0632594e+04,-7.1696563e+04,2.0700000e+03,5.2353907e+00,9.1629163e+02,3.1761569e+02,9.6979254e+02
34,7.3658898e+04,-7.1696563e+04,2.0700000e+03,3.1012788e+00,9.2128357e+02,3.0473740e+02,9.7038031e+02
35,7.6685203e+04,-7.1696563e+04,2.0700000e+03,-5.1209445e+00,9.2460901e+02,2.8669812e+02,9.6805157e+02
36,7.9711500e+04,-7.1696563e+04,2.0700000e+03,-3.4834771e+00,9.0726959e+02,3.1185367e+02,9.5937634e+02
37,8.2737805e+04,-7.1696563e+04,2.0700000e+03,-8.1026596e-01,9.1544122e+02,2.8225198e+02,9.5796631e+02
38,8.5764109e+04,-7.1696563e+04,2.0700000e+03,1.2356448e+00,9.1086963e+02,2.8888657e+02,9.5558380e+02
39,8.8790414e+04,-7.1696563e+04,2.0700000e+03,1.6058871e+00,9.1076086e+02,3.1109937e+02,9.6242963e+02
40,9.1816719e+04,-7.1696563e+04,2.0700000e+03,-1.1867350e+00,8.9017230e+02,2.8542447e+02,9.3481299e+02
41,9.4843023e+04,-7.1696563e+04,2.0700000e+03,4.6613436e+00,8.5194824e+02,2.9738828e+02,9.0237317e+02
42,9.7869328e+04,-7.1696563e+04,2.0700000e+03,1.7580402e+01,8.8130048e+02,2.9765509e+02,9.3037524e+02
