Length Units,centimeter
Node,X(cm),Y(cm),Z(cm),VX(cm/s),VY(cm/s),VZ(cm/s),(1) 속도 크기 - cm/s
1,-2.6209146e+04,-7.1696563e+04,9.0900000e+03,2.6220379e+01,9.0883624e+02,5.5687325e+01,9.1091815e+02
2,-2.3182842e+04,-7.1696563e+04,9.0900000e+03,2.4108791e+01,9.5971240e+02,5.9704140e+01,9.6186987e+02
3,-2.0156539e+04,-7.1696563e+04,9.0900000e+03,1.3189177e+01,9.7391174e+02,4.2920628e+01,9.7494623e+02
4,-1.7130234e+04,-7.1696563e+04,9.0900000e+03,1.9834623e+00,9.7084338e+02,5.5118378e+01,9.7240881e+02
5,-1.4103930e+04,-7.1696563e+04,9.0900000e+03,-3.1988657e+00,9.7449060e+02,6.2531906e+01,9.7650012e+02
6,-1.1077625e+04,-7.1696563e+04,9.0900000e+03,-7.1170163e+00,9.7650732e+02,7.0273964e+01,9.7905853e+02
7,-8.0513203e+03,-7.1696563e+04,9.0900000e+03,-8.7393093e+00,9.7190320e+02,6.5148758e+01,9.7412347e+02
8,-5.0250176e+03,-7.1696563e+04,9.0900000e+03,-1.5378937e+01,9.7031311e+02,8.0061707e+01,9.7373193e+02
9,-1.9987129e+03,-7.1696563e+04,9.0900000e+03,-1.8437218e+01,9.6919153e+02,7.4531570e+01,9.7222791e+02
10,1.0275918e+03,-7.1696563e+04,9.0900000e+03,-2.3543215e+01,9.7325995e+02,7.8681000e+01,9.7671899e+02
11,4.0538965e+03,-7.1696563e+04,9.0900000e+03,-2.7558735e+01,9.7784839e+02,7.1559448e+01,9.8085052e+02
12,7.0802012e+03,-7.1696563e+04,9.0900000e+03,-3.6442364e+01,9.8119836e+02,7.2727669e+01,9.8456470e+02
13,1.0106506e+04,-7.1696563e+04,9.0900000e+03,-3.8827499e+01,9.8628931e+02,6.0538662e+01,9.8890802e+02
14,1.3132807e+04,-7.1696563e+04,9.0900000e+03,-4.7643341e+01,9.8231091e+02,6.8909813e+01,9.8587689e+02
15,1.6159111e+04,-7.1696563e+04,9.0900000e+03,-6.8449837e+01,9.8027686e+02,8.1606049e+01,9.8604645e+02
16,1.9185416e+04,-7.1696563e+04,9.0900000e+03,-7.8059784e+01,9.7119489e+02,9.1135139e+01,9.7857983e+02
17,2.2211721e+04,-7.1696563e+04,9.0900000e+03,-7.7005249e+01,9.5379169e+02,9.6260193e+01,9.6172467e+02
18,2.5238025e+04,-7.1696563e+04,9.0900000e+03,-6.6117157e+01,9.5033051e+02,9.8855225e+01,9.5774316e+02
19,2.8264330e+04,-7.1696563e+04,9.0900000e+03,-4.7166073e+01,9.5180945e+02,8.9493172e+01,9.5717023e+02
20,3.1290635e+04,-7.1696563e+04,9.0900000e+03,-2.4291521e+01,9.6154224e+02,8.0394943e+01,9.6520306e+02
21,3.4316938e+04,-7.1696563e+04,9.0900000e+03,-1.3807789e+01,9.6373102e+02,7.4905685e+01,9.6673627e+02
22,3.7343242e+04,-7.1696563e+04,9.0900000e+03,-5.7277985e+00,9.7199677e+02,7.4200531e+01,9.7484167e+02
23,4.0369547e+04,-7.1696563e+04,9.0900000e+03,-2.6882191e+00,9.7177185e+02,7.1884895e+01,9.7443073e+02
24,4.3395852e+04,-7.1696563e+04,9.0900000e+03,-4.9872017e+00,9.6870386e+02,9.8072495e+01,9.7366846e+02
25,4.6422156e+04,-7.1696563e+04,9.0900000e+03,-5.9181433e+00,9.8099786e+02,7.4018883e+01,9.8380414e+02
26,4.9448461e+04,-7.1696563e+04,9.0900000e+03,-6.7056489e+00,9.6807080e+02,8.3145935e+01,9.7165802e+02
27,5.2474766e+04,-7.1696563e+04,9.0900000e+03,-2.7304533e+00,9.6919440e+02,7.6749207e+01,9.7223230e+02
28,5.5501070e+04,-7.1696563e+04,9.0900000e+03,2.9771616e+00,9.7906195e+02,7.5273651e+01,9.8195587e+02
29,5.8527375e+04,-7.1696563e+04,9.0900000e+03,6.0057445e+00,9.7954651e+02,5.3133514e+01,9.8100488e+02
30,6.1553680e+04,-7.1696563e+04,9.0900000e+03,8.1236324e+00,9.7741241e+02,6.9864044e+01,9.7993982e+02
31,6.4579984e+04,-7.1696563e+04,9.0900000e+03,6.4488926e+00,9.8155371e+02,6.8059814e+01,9.8393158e+02
32,6.7606289e+04,-7.1696563e+04,9.0900000e+03,4.2950954e+00,9.8411053e+02,7.7609138e+01,9.8717535e+02
33,7.0632594e+04,-7.1696563e+04,9.0900000e+03,3.6281374e+00,9.7672046e+02,7.1623245e+01,9.7934973e+02
34,7.3658898e+04,-7.1696563e+04,9.0900000e+03,2.3528256e+00,9.7277289e+02,8.0723015e+01,9.7611926e+02
35,7.6685203e+04,-7.1696563e+04,9.0900000e+03,-4.4619769e-01,9.7370520e+02,7.7125259e+01,9.7675500e+02
36,7.9711500e+04,-7.1696563e+04,9.0900000e+03,-2.4951377e+00,9.7911804e+02,7.5697342e+01,9.8204297e+02
37,8.2737805e+04,-7.1696563e+04,9.0900000e+03,-4.0718594e+00,9.8278375e+02,6.2552338e+01,9.8478082e+02
