Length Units,centimeter
Node,X(cm),Y(cm),Z(cm),VX(cm/s),VY(cm/s),VZ(cm/s),(1) 속도 크기 - cm/s
47,1.1300084e+05,-7.1696563e+04,1.3800000e+04,-2.3212982e+01,9.1629517e+02,7.6564169e+00,9.1662109e+02
48,-2.6209146e+04,-6.8679695e+04,1.3800000e+04,3.3706657e+01,7.2561255e+02,1.4168354e+01,7.2653314e+02
49,-2.3182842e+04,-6.8679695e+04,1.3800000e+04,3.9296738e+01,8.3008649e+02,1.7413099e+01,8.3119855e+02
50,-2.0156539e+04,-6.8679695e+04,1.3800000e+04,2.6082813e+01,8.8785364e+02,1.6953600e+01,8.8839844e+02
51,-1.7130234e+04,-6.8679695e+04,1.3800000e+04,1.1367366e+01,8.8584619e+02,1.5138206e+01,8.8604846e+02
52,-1.4103930e+04,-6.8679695e+04,1.3800000e+04,-2.4898238e+00,8.8824396e+02,1.3087596e+01,8.8834387e+02
53,-1.1077625e+04,-6.8679695e+04,1.3800000e+04,-1.2921195e+01,9.1065497e+02,9.3240452e+00,9.1079437e+02
54,-8.0513203e+03,-6.8679695e+04,1.3800000e+04,-2.1442730e+01,9.0123865e+02,1.1296555e+01,9.0156451e+02
55,-5.0250176e+03,-6.8679695e+04,1.3800000e+04,-3.1301746e+01,8.8783917e+02,1.1402523e+01,8.8846393e+02
56,-1.9987129e+03,-6.8679695e+04,1.3800000e+04,-4.4254593e+01,8.9771967e+02,9.4939814e+00,8.9885999e+02
57,1.0275918e+03,-6.8679695e+04,1.3800000e+04,-5.2170212e+01,8.7908173e+02,1.3077559e+01,8.8072552e+02
58,4.0538965e+03,-6.8679695e+04,1.3800000e+04,-6.5591347e+01,8.9119324e+02,8.8511591e+00,8.9364752e+02
59,7.0802012e+03,-6.8679695e+04,1.3800000e+04,-7.9098419e+01,9.1451819e+02,1.2212152e+01,9.1801373e+02
60,1.0106506e+04,-6.8679695e+04,1.3800000e+04,-8.9490471e+01,9.2478021e+02,1.5279603e+01,9.2922571e+02
61,1.3132807e+04,-6.8679695e+04,1.3800000e+04,-1.0514972e+02,9.2009827e+02,1.9936337e+01,9.2630164e+02
62,1.6159111e+04,-6.8679695e+04,1.3800000e+04,-1.3578766e+02,9.2454175e+02,2.7051315e+01,9.3485156e+02
63,1.9185416e+04,-6.8679695e+04,1.3800000e+04,-1.5527121e+02,8.9685345e+02,3.7195629e+01,9.1095483e+02
64,2.2211721e+04,-6.8679695e+04,1.3800000e+04,-1.7485135e+02,8.7147095e+02,4.7479050e+01,8.9010608e+02
65,2.5238025e+04,-6.8679695e+04,1.3800000e+04,-1.6516205e+02,8.6029871e+02,6.3364017e+01,8.7829797e+02
66,2.8264330e+04,-6.8679695e+04,1.3800000e+04,-1.3084521e+02,8.5322131e+02,6.7371277e+01,8.6582098e+02
67,3.1290635e+04,-6.8679695e+04,1.3800000e+04,-8.7692070e+01,8.4416644e+02,6.7347885e+01,8.5137689e+02
68,3.4316938e+04,-6.8679695e+04,1.3800000e+04,-5.0641506e+01,8.5384174e+02,5.6949490e+01,8.5723596e+02
69,3.7343242e+04,-6.8679695e+04,1.3800000e+04,-2.5284580e+01,8.6683380e+02,4.3920120e+01,8.6831396e+02
70,4.0369547e+04,-6.8679695e+04,1.3800000e+04,-1.1682788e+01,8.7900195e+02,4.4776897e+01,8.8021924e+02
71,4.3395852e+04,-6.8679695e+04,1.3800000e+04,-1.3469341e+01,9.1414563e+02,4.1493217e+01,9.1518597e+02
72,4.6422156e+04,-6.8679695e+04,1.3800000e+04,-1.4816790e+01,8.9230603e+02,3.6077446e+01,8.9315796e+02
73,4.9448461e+04,-6.8679695e+04,1.3800000e+04,-1.3474077e+01,8.7348035e+02,3.0268219e+01,8.7410852e+02
74,5.2474766e+04,-6.8679695e+04,1.3800000e+04,-4.8644714e+00,8.7922272e+02,3.8320206e+01,8.8007086e+02
75,5.5501070e+04,-6.8679695e+04,1.3800000e+04,4.3480530e+00,8.7258264e+02,3.6938026e+01,8.7337494e+02
76,5.8527375e+04,-6.8679695e+04,1.3800000e+04,1.1249443e+01,8.8169678e+02,4.0004723e+01,8.8267554e+02
77,6.1553680e+04,-6.8679695e+04,1.3800000e+04,1.2319000e+01,8.8931458e+02,3.7449203e+01,8.9018799e+02
