Length Units,centimeter
Node,X(cm),Y(cm),Z(cm),VX(cm/s),VY(cm/s),VZ(cm/s),(1) 속도 크기 - cm/s
1,-2.6209146e+04,-7.1696563e+04,1.4900000e+04,2.0799923e+01,9.1331787e+02,1.4804220e-01,9.1355469e+02
2,-2.3182842e+04,-7.1696563e+04,1.4900000e+04,2.3846857e+01,9.4829437e+02,-2.0339732e+00,9.4859631e+02
3,-2.0156539e+04,-7.1696563e+04,1.4900000e+04,1.4117138e+01,9.5478766e+02,-2.8584352e+00,9.5489630e+02
4,-1.7130234e+04,-7.1696563e+04,1.4900000e+04,4.4247890e+00,9.6126233e+02,-1.5442283e+00,9.6127374e+02
5,-1.4103930e+04,-7.1696563e+04,1.4900000e+04,-1.9133182e+00,9.6021442e+02,-3.9343700e+00,9.6022443e+02
6,-1.1077625e+04,-7.1696563e+04,1.4900000e+04,-5.4488354e+00,9.6007404e+02,-4.9138360e+00,9.6010205e+02
7,-8.0513203e+03,-7.1696563e+04,1.4900000e+04,-1.0989904e+01,9.5847833e+02,-4.7359505e+00,9.5855304e+02
8,-5.0250176e+03,-7.1696563e+04,1.4900000e+04,-1.2469272e+01,9.6241046e+02,-4.6186528e+00,9.6250232e+02
9,-1.9987129e+03,-7.1696563e+04,1.4900000e+04,-1.8153305e+01,9.5073218e+02,-4.3523574e+00,9.5091547e+02
10,1.0275918e+03,-7.1696563e+04,1.4900000e+04,-1.9294334e+01,9.6291199e+02,-2.8827651e+00,9.6310956e+02
11,4.0538965e+03,-7.1696563e+04,1.4900000e+04,-2.3465281e+01,9.6676105e+02,1.7715812e-01,9.6704584e+02
12,7.0802012e+03,-7.1696563e+04,1.4900000e+04,-2.8923908e+01,9.6892639e+02,1.5696850e+00,9.6935925e+02
13,1.0106506e+04,-7.1696563e+04,1.4900000e+04,-3.5434174e+01,9.7948492e+02,2.5105412e+00,9.8012885e+02
14,1.3132807e+04,-7.1696563e+04,1.4900000e+04,-5.3374458e+01,9.7117688e+02,4.3493114e+00,9.7265222e+02
15,1.6159111e+04,-7.1696563e+04,1.4900000e+04,-5.4694744e+01,9.6871460e+02,5.1673121e+00,9.7027118e+02
16,1.9185416e+04,-7.1696563e+04,1.4900000e+04,-6.4299858e+01,9.6495886e+02,8.9586477e+00,9.6714032e+02
17,2.2211721e+04,-7.1696563e+04,1.4900000e+04,-6.8226982e+01,9.6297803e+02,1.4296391e+01,9.6549780e+02
18,2.5238025e+04,-7.1696563e+04,1.4900000e+04,-6.8564728e+01,9.5550525e+02,1.9166386e+01,9.5815381e+02
19,2.8264330e+04,-7.1696563e+04,1.4900000e+04,-4.6807961e+01,9.5885120e+02,1.4065519e+01,9.6009607e+02
20,3.1290635e+04,-7.1696563e+04,1.4900000e+04,-3.3536236e+01,9.5115601e+02,8.4060774e+00,9.5178418e+02
21,3.4316938e+04,-7.1696563e+04,1.4900000e+04,-1.6335302e+01,9.6648376e+02,1.1297894e+01,9.6668781e+02
22,3.7343242e+04,-7.1696563e+04,1.4900000e+04,-1.1857226e+01,9.5732593e+02,8.0677338e+00,9.5743335e+02
23,4.0369547e+04,-7.1696563e+04,1.4900000e+04,-6.4813542e+00,9.6084448e+02,7.1606221e+00,9.6089301e+02
24,4.3395852e+04,-7.1696563e+04,1.4900000e+04,-5.1528854e+00,9.6518018e+02,7.9629498e+00,9.6522681e+02
25,4.6422156e+04,-7.1696563e+04,1.4900000e+04,-7.7382145e+00,9.5526733e+02,5.9994493e+00,9.5531750e+02
26,4.9448461e+04,-7.1696563e+04,1.4900000e+04,-5.9101992e+00,9.5674481e+02,6.1871738e+00,9.5678308e+02
27,5.2474766e+04,-7.1696563e+04,1.4900000e+04,-2.6089025e+00,9.5907245e+02,8.1965446e+00,9.5911102e+02
28,5.5501070e+04,-7.1696563e+04,1.4900000e+04,2.8290019e+00,9.5985333e+02,8.6292410e+00,9.5989630e+02
29,5.8527375e+04,-7.1696563e+04,1.4900000e+04,4.2948608e+00,9.5663293e+02,8.9446163e+00,9.5668439e+02
30,6.1553680e+04,-7.1696563e+04,1.4900000e+04,5.9889336e+00,9.5459241e+02,5.1050720e+00,9.5462488e+02
31,6.4579984e+04,-7.1696563e+04,1.4900000e+04,4.9156513e+00,9.5762878e+02,5.0902395e+00,9.5765497e+02
32,6.7606289e+04,-7.1696563e+04,1.4900000e+04,2.0691199e+00,9.5896924e+02,3.2035619e-01,9.5897156e+02
33,7.0632594e+04,-7.1696563e+04,1.4900000e+04,1.2179732e+00,9.6504272e+02,-6.6950727e-01,9.6504370e+02
34,7.3658898e+04,-7.1696563e+04,1.4900000e+04,3.8686323e-01,9.6959277e+02,2.0781791e+00,9.6959503e+02
35,7.6685203e+04,-7.1696563e+04,1.4900000e+04,-1.1156119e+00,9.7018091e+02,1.6649646e+00,9.7018298e+02
36,7.9711500e+04,-7.1696563e+04,1.4900000e+04,-2.2260060e+00,9.7135046e+02,5.7144487e-01,9.7135315e+02
37,8.2737805e+04,-7.1696563e+04,1.4900000e+04,-2.3703961e+00,9.6494751e+02,1.8687710e+00,9.6495221e+02
38,8.5764109e+04,-7.1696563e+04,1.4900000e+04,-7.6500249e-01,9.5539569e+02,-1.2773744e+00,9.5539685e+02
39,8.8790414e+04,-7.1696563e+04,1.4900000e+04,2.1879187e+00,9.5919843e+02,9.4821912e-01,9.5920142e+02
40,9.1816719e+04,-7.1696563e+04,1.4900000e+04,3.8092740e+00,9.6851343e+02,4.1989579e+00,9.6853003e+02
41,9.4843023e+04,-7.1696563e+04,1.4900000e+04,2.7683668e+00,9.7642090e+02,3.5283661e+00,9.7643121e+02
42,9.7869328e+04,-7.1696563e+04,1.4900000e+04,2.0974112e+00,9.7049133e+02,2.5535505e+00,9.7049695e+02
43,1.0089563e+05,-7.1696563e+04,1.4900000e+04,-7.2135103e-01,9.7322314e+02,4.0766616e+00,9.7323193e+02
44,1.0392194e+05,-7.1696563e+04,1.4900000e+04,-6.7812290e+00,9.6853931e+02,2.2736363e+00,9.6856573e+02
45,1.0694823e+05,-7.1696563e+04,1.4900000e+04,-1.5438604e+01,9.5745825e+02,1.9515190e+00,9.5758472e+02
46,1.0997455e+05,-7.1696563e+04,1.4900000e+04,-2.2843124e+01,9.5551715e+02,6.3260829e-01,9.5579034e+02
47,1.1300084e+05,-7.1696563e+04,1.4900000e+04,-2.3007484e+01,9.1349976e+02,1.9070852e+00,9.1379144e+02
48,-2.6209146e+04,-6.8679695e+04,1.4900000e+04,3.4737141e+01,7.5247772e+02,2.7435875e+00,7.5328412e+02
49,-2.3182842e+04,-6.8679695e+04,1.4900000e+04,3.7234505e+01,8.2722754e+02,1.9833938e+00,8.2806750e+02
50,-2.0156539e+04,-6.8679695e+04,1.4900000e+04,2.5277050e+01,8.6403986e+02,4.9974556e+00,8.6442395e+02
