Length Units,centimeter
Node,X(cm),Y(cm),Z(cm),VX(cm/s),VY(cm/s),VZ(cm/s),(1) 속도 크기 - cm/s
1,-2.6209146e+04,-7.1696563e+04,1.1400000e+04,2.5550606e+01,9.2023853e+02,2.9816786e+01,9.2107593e+02
2,-2.3182842e+04,-7.1696563e+04,1.1400000e+04,2.7936035e+01,9.5206354e+02,3.7852707e+01,9.5322516e+02
3,-2.0156539e+04,-7.1696563e+04,1.1400000e+04,1.6198853e+01,9.6883423e+02,3.4565937e+01,9.6958594e+02
4,-1.7130234e+04,-7.1696563e+04,1.1400000e+04,6.9540548e+00,9.6745758e+02,3.1398308e+01,9.6799194e+02
5,-1.4103930e+04,-7.1696563e+04,1.1400000e+04,-1.4472412e+00,9.7434241e+02,3.0706707e+01,9.7482721e+02
6,-1.1077625e+04,-7.1696563e+04,1.1400000e+04,-5.1927643e+00,9.8006848e+02,2.6239513e+01,9.8043341e+02
7,-8.0513203e+03,-7.1696563e+04,1.1400000e+04,-9.7609272e+00,9.7576477e+02,3.1438501e+01,9.7631989e+02
8,-5.0250176e+03,-7.1696563e+04,1.1400000e+04,-1.4647188e+01,9.7376404e+02,2.9545229e+01,9.7432227e+02
9,-1.9987129e+03,-7.1696563e+04,1.1400000e+04,-1.9281273e+01,9.6951379e+02,2.8439837e+01,9.7012244e+02
10,1.0275918e+03,-7.1696563e+04,1.1400000e+04,-2.2522575e+01,9.7553571e+02,3.3825012e+01,9.7638177e+02
11,4.0538965e+03,-7.1696563e+04,1.1400000e+04,-2.8917274e+01,9.8194952e+02,2.5300217e+01,9.8270099e+02
12,7.0802012e+03,-7.1696563e+04,1.1400000e+04,-3.9007797e+01,9.8388123e+02,4.1907448e+01,9.8554559e+02
13,1.0106506e+04,-7.1696563e+04,1.1400000e+04,-4.3208988e+01,9.8483600e+02,3.3499641e+01,9.8635248e+02
