Length Units,centimeter
Node,X(cm),Y(cm),Z(cm),VX(cm/s),VY(cm/s),VZ(cm/s),(1) 속도 크기 - cm/s
1,-2.6209146e+04,-7.1696563e+04,1.6100000e+04,1.9082932e+01,9.1729590e+02,-5.9614372e+00,9.1751373e+02
2,-2.3182842e+04,-7.1696563e+04,1.6100000e+04,2.4919437e+01,9.4056952e+02,-1.2216342e+01,9.4097888e+02
3,-2.0156539e+04,-7.1696563e+04,1.6100000e+04,1.4754317e+01,9.4585071e+02,-1.1516293e+01,9.4603589e+02
4,-1.7130234e+04,-7.1696563e+04,1.6100000e+04,4.8333874e+00,9.5034705e+02,-1.0954709e+01,9.5042249e+02
5,-1.4103930e+04,-7.1696563e+04,1.6100000e+04,-1.8072276e+00,9.4535754e+02,-1.2421030e+01,9.4544086e+02
6,-1.1077625e+04,-7.1696563e+04,1.6100000e+04,-6.1079841e+00,9.4950189e+02,-1.3158849e+01,9.4961267e+02
7,-8.0513203e+03,-7.1696563e+04,1.6100000e+04,-9.5113621e+00,9.4480750e+02,-1.3918334e+01,9.4495789e+02
8,-5.0250176e+03,-7.1696563e+04,1.6100000e+04,-1.3122103e+01,9.4153741e+02,-1.3773956e+01,9.4172961e+02
9,-1.9987129e+03,-7.1696563e+04,1.6100000e+04,-1.5900360e+01,9.3542297e+02,-1.0866955e+01,9.3562115e+02
10,1.0275918e+03,-7.1696563e+04,1.6100000e+04,-1.7362679e+01,9.5226807e+02,-7.7815576e+00,9.5245813e+02
11,4.0538965e+03,-7.1696563e+04,1.6100000e+04,-2.1789019e+01,9.5490039e+02,-5.3254876e+00,9.5516382e+02
12,7.0802012e+03,-7.1696563e+04,1.6100000e+04,-2.5170029e+01,9.5235925e+02,-6.1456361e+00,9.5271161e+02
13,1.0106506e+04,-7.1696563e+04,1.6100000e+04,-3.2799572e+01,9.6801318e+02,-4.2311783e+00,9.6857794e+02
14,1.3132807e+04,-7.1696563e+04,1.6100000e+04,-4.1844540e+01,9.6011151e+02,-2.9818585e+00,9.6102753e+02
15,1.6159111e+04,-7.1696563e+04,1.6100000e+04,-4.8500126e+01,9.5646832e+02,-3.8804827e+00,9.5770502e+02
16,1.9185416e+04,-7.1696563e+04,1.6100000e+04,-6.3629768e+01,9.5202161e+02,2.9674554e-01,9.5414563e+02
17,2.2211721e+04,-7.1696563e+04,1.6100000e+04,-6.3364979e+01,9.5138928e+02,3.1101210e+00,9.5350214e+02
18,2.5238025e+04,-7.1696563e+04,1.6100000e+04,-6.9484207e+01,9.4755945e+02,6.7850900e+00,9.5012793e+02
19,2.8264330e+04,-7.1696563e+04,1.6100000e+04,-5.5107384e+01,9.5033643e+02,3.9711440e+00,9.5194110e+02
20,3.1290635e+04,-7.1696563e+04,1.6100000e+04,-3.0576000e+01,9.4291077e+02,9.0373778e-01,9.4340680e+02
21,3.4316938e+04,-7.1696563e+04,1.6100000e+04,-1.8034927e+01,9.4453394e+02,1.4780433e+00,9.4470728e+02
22,3.7343242e+04,-7.1696563e+04,1.6100000e+04,-1.0207423e+01,9.5229889e+02,1.0866522e+00,9.5235425e+02
23,4.0369547e+04,-7.1696563e+04,1.6100000e+04,-5.3428063e+00,9.5313782e+02,-1.1772326e+00,9.5315350e+02
24,4.3395852e+04,-7.1696563e+04,1.6100000e+04,-6.3441620e+00,9.5425696e+02,-3.1966636e+00,9.5428339e+02
25,4.6422156e+04,-7.1696563e+04,1.6100000e+04,-7.5008588e+00,9.4886902e+02,-3.2947049e+00,9.4890442e+02
26,4.9448461e+04,-7.1696563e+04,1.6100000e+04,-5.6261916e+00,9.4656500e+02,-3.0198550e+00,9.4658655e+02
27,5.2474766e+04,-7.1696563e+04,1.6100000e+04,-2.2742922e+00,9.4372217e+02,-1.9908013e+00,9.4372699e+02
28,5.5501070e+04,-7.1696563e+04,1.6100000e+04,3.3385489e+00,9.4189691e+02,3.2945514e-02,9.4190283e+02
29,5.8527375e+04,-7.1696563e+04,1.6100000e+04,3.9442556e+00,9.3845691e+02,-3.3143840e+00,9.3847107e+02
30,6.1553680e+04,-7.1696563e+04,1.6100000e+04,4.7238040e+00,9.3924500e+02,-1.5231768e+00,9.3925812e+02
31,6.4579984e+04,-7.1696563e+04,1.6100000e+04,4.1181874e+00,9.4759259e+02,-2.8992910e+00,9.4760596e+02
32,6.7606289e+04,-7.1696563e+04,1.6100000e+04,2.1885967e+00,9.5068982e+02,-4.3776951e+00,9.5070245e+02
33,7.0632594e+04,-7.1696563e+04,1.6100000e+04,9.7627628e-01,9.4806067e+02,-6.1048460e+00,9.4808081e+02
34,7.3658898e+04,-7.1696563e+04,1.6100000e+04,4.9168780e-02,9.5140320e+02,-5.5118656e+00,9.5141919e+02
35,7.6685203e+04,-7.1696563e+04,1.6100000e+04,-1.1736887e+00,9.5752582e+02,-5.1999807e+00,9.5754065e+02
36,7.9711500e+04,-7.1696563e+04,1.6100000e+04,-2.1678040e+00,9.5174152e+02,-6.1362000e+00,9.5176373e+02
37,8.2737805e+04,-7.1696563e+04,1.6100000e+04,-1.6536467e+00,9.4756543e+02,-5.3947425e+00,9.4758228e+02
38,8.5764109e+04,-7.1696563e+04,1.6100000e+04,-4.0416682e-01,9.4744849e+02,-9.9098530e+00,9.4750037e+02
39,8.8790414e+04,-7.1696563e+04,1.6100000e+04,2.5506785e+00,9.4792261e+02,-7.0307722e+00,9.4795209e+02
40,9.1816719e+04,-7.1696563e+04,1.6100000e+04,3.5985737e+00,9.5856104e+02,-2.2451854e+00,9.5857043e+02
41,9.4843023e+04,-7.1696563e+04,1.6100000e+04,2.2046070e+00,9.6034290e+02,-3.2173266e+00,9.6035083e+02
42,9.7869328e+04,-7.1696563e+04,1.6100000e+04,8.3961678e-01,9.4591266e+02,-6.2871614e+00,9.4593390e+02
43,1.0089563e+05,-7.1696563e+04,1.6100000e+04,-1.6370969e+00,9.5473297e+02,-7.7573838e+00,9.5476593e+02
44,1.0392194e+05,-7.1696563e+04,1.6100000e+04,-6.0288749e+00,9.5541656e+02,-6.1012974e+00,9.5545508e+02
45,1.0694823e+05,-7.1696563e+04,1.6100000e+04,-1.4093878e+01,9.5102258e+02,-6.2350340e+00,9.5114746e+02
46,1.0997455e+05,-7.1696563e+04,1.6100000e+04,-1.8897442e+01,9.4687280e+02,-6.1965818e+00,9.4708167e+02
47,1.1300084e+05,-7.1696563e+04,1.6100000e+04,-2.2122038e+01,9.1893262e+02,-4.6415620e+00,9.1921057e+02
48,-2.6209146e+04,-6.8679695e+04,1.6100000e+04,3.0692455e+01,7.2391968e+02,-6.1056519e+00,7.2459570e+02
49,-2.3182842e+04,-6.8679695e+04,1.6100000e+04,3.3808788e+01,8.0325311e+02,-7.7002325e+00,8.0400122e+02
50,-2.0156539e+04,-6.8679695e+04,1.6100000e+04,2.4407011e+01,8.3914307e+02,-7.7454529e+00,8.3953363e+02
51,-1.7130234e+04,-6.8679695e+04,1.6100000e+04,9.3483505e+00,8.4633667e+02,-1.0331739e+01,8.4645135e+02
52,-1.4103930e+04,-6.8679695e+04,1.6100000e+04,-3.1102638e+00,8.3938232e+02,-1.1238480e+01,8.3946332e+02
53,-1.1077625e+04,-6.8679695e+04,1.6100000e+04,-1.1674671e+01,8.3471075e+02,-1.2600741e+01,8.3488751e+02
54,-8.0513203e+03,-6.8679695e+04,1.6100000e+04,-2.0525713e+01,8.5703821e+02,-1.2594161e+01,8.5737646e+02
55,-5.0250176e+03,-6.8679695e+04,1.6100000e+04,-2.9306715e+01,8.2954578e+02,-1.0863472e+01,8.3013434e+02
56,-1.9987129e+03,-6.8679695e+04,1.6100000e+04,-4.0183174e+01,8.1871277e+02,-1.0350757e+01,8.1976367e+02
57,1.0275918e+03,-6.8679695e+04,1.6100000e+04,-4.6407532e+01,8.1945966e+02,-8.0220709e+00,8.2081189e+02
58,4.0538965e+03,-6.8679695e+04,1.6100000e+04,-5.9565010e+01,8.3516919e+02,-1.0946037e+01,8.3736218e+02
59,7.0802012e+03,-6.8679695e+04,1.6100000e+04,-6.6927307e+01,8.6710938e+02,-8.9514046e+00,8.6973450e+02
